#,case,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,Cooling,Lighting,Cooling+Lighting,Equipment,Total
36056,36057,250,0.64473999,0.492073678,0.662681229,0.325635952,0.450535399,2.334658911,0.569719166,0.452794124,0.532952255,0.438990294,0.703512307,72127.18243,11591.22132,83718.40375,51617.8656,135336.2694
42651,42652,160,0.535742428,0.602007866,0.990931049,0.212950626,0.492230024,1.097407521,0.542659582,0.477922236,0.468049013,0.414861497,0.476420025,70148.62533,14226.50124,84375.12657,51617.8656,135992.9922
36803,36804,170,0.879094406,0.537739205,0.414185733,0.161567684,0.334747505,1.888114081,0.447566719,0.362491716,0.641078414,0.362875359,0.704613685,65592.94744,11899.96164,77492.90908,51617.8656,129110.7747
48224,48225,110,0.859346799,0.578185756,0.866692485,0.23634712,0.466005679,2.766932046,0.210097372,0.500874964,0.431093837,0.483775243,0.567381917,70186.96281,13502.44476,83689.40757,51617.8656,135307.2732
29226,29227,0,1.178797302,0.525182736,0.463536162,0.308165303,0.459515035,2.622711366,0.451638158,0.334341389,0.387652483,0.418476714,0.694518225,68251.29176,13149.48096,81400.77272,51617.8656,133018.6383
5633,5634,310,1.130760277,0.795185634,0.669059828,0.284649179,0.389874849,1.478476942,0.409318757,0.47052386,0.494065952,0.576876628,0.608006071,71912.24533,12209.80068,84122.04601,51617.8656,135739.9116
5987,5988,270,0.99500926,0.744735002,0.662605372,0.28681973,0.346310269,1.176797345,0.453607463,0.435071874,0.421267084,0.384064422,0.547150257,69223.46712,14373.18036,83596.64748,51617.8656,135214.5131
48063,48064,140,0.791723358,0.436337104,0.680777885,0.244199016,0.387257822,2.876919298,0.316716122,0.389018049,0.542087865,0.663582553,0.485505972,69251.93138,12936.32928,82188.26066,51617.8656,133806.1263
1812,1813,20,0.449321986,0.437982614,1.184974098,0.242245345,0.314160616,1.564010341,0.542827144,0.45184368,0.411080002,0.46433266,0.478339621,65191.83725,14625.61128,79817.44853,51617.8656,131435.3141
27578,27579,150,1.057415432,0.580293892,1.148595651,0.311163372,0.489855573,2.684558566,0.362975863,0.46206003,0.486328264,0.530978166,0.500867335,70747.21409,13634.84052,84382.05461,51617.8656,135999.9202
16823,16824,210,0.716211697,0.668569468,0.720709947,0.401657208,0.195355704,1.143745197,0.398485818,0.682373255,0.474049039,0.491023313,0.466338243,67533.86684,14040.2682,81574.13504,51617.8656,133192.0006
3928,3929,180,1.080596201,0.496366714,0.547739121,0.27797393,0.347396519,2.715827737,0.253667141,0.319446844,0.307520378,0.531641351,0.736083463,65247.17546,12955.2822,78202.45766,51617.8656,129820.3233
37286,37287,190,1.02225285,0.667212229,1.066127151,0.214618185,0.283013209,1.854993817,0.417279297,0.633201491,0.472435613,0.473741612,0.544765409,64708.67295,13154.4252,77863.09815,51617.8656,129480.9638
25045,25046,260,0.751961337,0.754481609,0.985324083,0.174011926,0.293228237,2.864343819,0.31514796,0.313760824,0.585710632,0.405962895,0.57282691,65050.78689,13097.01708,78147.80397,51617.8656,129765.6696
15727,15728,160,0.636667667,0.747657576,0.700672823,0.439836708,0.208457437,1.982636363,0.299687619,0.368882014,0.404356868,0.467693716,0.573718397,64811.20598,14000.4396,78811.64558,51617.8656,130429.5112
